time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
9.9,1.399999976,97,24.0969677,0.302167416,-79.78282229,40.45904221,264.7227387,0.017353039,-0.002529483,-0.726455688,0.686989605,0.001324532,0.003394616,0.003670659,-0.041539069,-0.004786585,0.004940879,0.262095284,-0.194085697,-9.788679882
10,1.5,99,24.07568359,0.691804349,-79.78282228,40.4590422,264.7233059,0.017247213,-0.002519277,-0.726418197,0.687031984,0.001272394,0.005868708,0.002781716,-0.024870977,-0.012866571,0.010210536,0.275078935,-0.174733935,-9.801555451
10.2,1.700000048,98,23.90415192,4.286005974,-79.78282218,40.45904214,264.732366,0.017283993,-0.002476211,-0.726520061,0.686923444,0.004146736,0.005089384,0.003586109,-0.006048849,-0.004178993,0.006663875,0.279361472,-0.274499275,-9.814497678
10.3,1.700000048,97,23.84906197,5.192508221,-79.78282207,40.45904208,264.7420385,0.017258083,-0.002506048,-0.726480544,0.686965704,0.003780955,0.004344549,0.002400066,0.018616781,-0.012201505,0.009401388,0.288467177,-0.203005387,-9.80862415
10.5,1.899999976,103,23.71884918,7.259969711,-79.78282207,40.45904208,264.7423789,0.017324246,-0.002496394,-0.726497948,0.686945736,0.004408407,0.00435363,0.001902608,0.029703492,-0.014041538,-0.032820012,0.2642589,-0.20153907,-9.825109205
10.6,2,100,23.63996887,8.22213459,-79.78282196,40.45904202,264.7525538,0.017850192,-0.001977369,-0.726480007,0.686953008,0.002427938,0.001257021,0.003423979,0.007852315,-0.027640548,-0.000280104,0.288459466,-0.199656285,-9.814156201
10.8,2.299999952,112,23.47344589,11.31537437,-79.78282196,40.45904202,264.7532446,0.018457819,-0.001492641,-0.726494133,0.686923146,0.004956289,-0.000129933,0.003474568,0.064206064,-0.024196425,-0.07457529,0.29570402,-0.298037826,-9.851359695
10.9,2.400000095,109,23.3795433,12.73874187,-79.78282189,40.45904194,264.7669943,0.019965766,3.70E-05,-0.726479948,0.686897576,0.010018381,-0.007124423,0.010215733,0.030331161,-0.005219441,0.004560832,0.286175397,-0.130628753,-9.821915456
11.1,2.400000095,105,23.17170334,16.00692177,-79.78282189,40.45904193,264.76845,0.021018157,0.000423982,-0.726566076,0.686775029,0.013357992,-0.01094266,0.012451631,-0.059750754,-0.00627717,0.127093658,0.152216856,-0.204412063,-9.837115878
11.2,2.400000095,110,23.07654572,17.61318016,-79.78282181,40.45904189,264.7791122,0.02221724,0.000567596,-0.726377904,0.6869362,0.004282126,0.003412181,0.015389792,0.044775464,-0.115634859,-0.070266932,0.3445819,-0.358494473,-9.820191697
11.4,2.299999952,116,22.88623428,21.02449036,-79.78282173,40.45904185,264.7900683,0.01986392,-0.000642744,-0.725864887,0.687550187,-0.021257771,-0.011518357,0.02089343,-0.097419821,0.045880537,-0.058382381,0.24963843,-0.353463565,-9.789245893
11.5,2.400000095,115,22.74725723,22.97267532,-79.7828217,40.45904173,264.799743,0.005996589,-0.01043885,-0.728013992,0.685456634,-0.040194938,-0.016767352,0.08786819,-0.273058623,-0.062446136,-0.031339522,0.049216069,-0.084518798,-10.22148026
11.7,2.299999952,116,22.8762188,19.17172623,-79.78282173,40.45904179,264.8126678,-0.00584427,-0.020481596,-0.729517996,0.68362999,-0.076732724,-0.024702288,0.180670465,-0.282569289,-0.116689794,0.160198078,0.097502038,-0.189740412,-10.59224402
11.8,2.200000048,113,22.85368156,20.30087852,-79.78282194,40.45904187,264.8623764,-0.009705008,-0.013740897,-0.731591582,0.681535602,-0.102554731,-0.054485467,0.294357157,0.263704032,-0.063697681,-0.019802867,0.178741343,0.385163989,-10.33291182
12,2.200000048,112,22.93631744,18.76618576,-79.782822,40.45904199,264.8919852,-0.003978753,-0.004483775,-0.731577635,0.68173182,-0.128624711,-0.06432707,0.302658445,0.227349877,-0.036479771,0.083335288,-0.008308254,0.06255439,-9.987630225
12.1,2.200000048,106,22.83615303,20.7302742,-79.78282212,40.45904258,264.9293469,0.00107856,0.009411913,-0.730098307,0.683276534,-0.152419478,-0.054263335,0.191914844,-0.075704433,-0.033026274,-0.008514142,0.068103782,-0.086227628,-9.45432732
12.3,2.200000048,106,22.69216728,22.41604996,-79.78282216,40.45904271,264.9467218,0.001719183,0.01021916,-0.729500711,0.683901548,-0.143403263,-0.045112687,0.155894202,-0.030243535,0.086447388,-0.041054785,0.00114203,0.016582831,-9.452300676
12.4,2,105,22.79608727,21.12786293,-79.78282227,40.45904272,264.9879084,0.006318885,0.003045006,-0.729213893,0.684249878,-0.102702274,-0.042281375,0.125896899,-0.044825301,0.065827459,0.009594099,0.085761039,-0.1251458,-9.692010205
